% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
3.00013	1	0	0	1	300	0	3	1	5	15	1	0	0	69
9.00013	1	0	0	1	900	0	3	1	5	15	1	0	0	69
9.10175	1	0	0	1	910	2	0	1	1	15	1	0	28	497
9.10212	1	0	0	1	910	2	3	1	4	14	1	0	28	1997
9.10238	1	0	0	1	910	2	5	1	4	15	1	0	28	1997
9.10262	1	0	0	1	910	2	7	1	4	13	1	0	28	1997
9.103	1	0	0	1	910	3	2	1	4	15	1	0	28	1997
9.10325	1	0	0	1	910	3	4	1	4	14	1	0	28	1997
9.1035	1	0	0	1	910	3	6	1	4	13	1	0	28	1997
9.10375	1	0	0	1	910	4	0	1	4	15	1	0	28	1997
9.10412	1	0	0	1	910	4	3	1	4	14	1	0	28	1997
9.10437	1	0	0	1	910	4	5	1	4	15	1	0	28	1997
9.10463	1	0	0	1	910	4	7	1	4	13	1	0	28	1997
9.105	1	0	0	1	910	5	2	1	4	15	1	0	28	1997
9.10525	1	0	0	1	910	5	4	1	4	14	1	0	28	1997
9.1055	1	0	0	1	910	5	6	1	4	13	1	0	28	1997
9.10575	1	0	0	1	910	6	0	1	4	15	1	0	28	1997
9.10613	1	0	0	1	910	6	3	1	4	14	1	0	28	1997
9.10637	1	0	0	1	910	6	5	1	4	15	1	0	28	1997
9.10662	1	0	0	1	910	6	7	1	4	13	1	0	28	1997
9.107	1	0	0	1	910	7	2	1	4	15	1	0	28	1997
9.10725	1	0	0	1	910	7	4	1	4	14	1	0	28	1997
9.1075	1	0	0	1	910	7	6	1	4	13	1	0	28	1997
9.10775	1	0	0	1	910	8	0	1	4	15	1	0	28	1997
9.10812	1	0	0	1	910	8	3	1	4	14	1	0	28	1997
9.10838	1	0	0	1	910	8	5	1	4	15	1	0	28	1997
9.10862	1	0	0	1	910	8	7	1	4	13	1	0	28	1997
9.109	1	0	0	1	910	9	2	1	4	15	1	0	28	1997
