% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
3.00013	1	0	0	1	300	0	3	1	5	15	1	0	0	69
3.00212	1	0	0	1	300	2	3	1	1	15	1	0	28	497
3.0025	1	0	0	1	300	2	6	1	4	14	1	0	28	1997
3.00275	1	0	0	1	300	3	0	1	4	15	1	0	28	1997
3.003	1	0	0	1	300	3	2	1	4	13	1	0	28	1997
3.00338	1	0	0	1	300	3	5	1	4	15	1	0	28	1997
3.00362	1	0	0	1	300	3	7	1	4	14	1	0	28	1997
3.00387	1	0	0	1	300	4	1	1	4	13	1	0	28	1997
3.00413	1	0	0	1	300	4	3	1	4	15	1	0	28	1997
3.0045	1	0	0	1	300	4	6	1	4	14	1	0	28	1997
3.00475	1	0	0	1	300	5	0	1	4	13	1	0	28	1997
3.005	1	0	0	1	300	5	2	1	4	15	1	0	28	1997
3.00537	1	0	0	1	300	5	5	1	4	14	1	0	28	1997
3.00575	1	0	0	1	300	6	0	1	4	13	1	0	26	1845
3.00588	1	0	0	1	300	6	1	1	4	12	1	0	26	1845
3.00612	1	0	0	1	300	6	3	1	4	14	1	0	26	1845
3.0065	1	0	0	1	300	6	6	1	4	15	1	0	28	1997
3.00675	1	0	0	1	300	7	0	1	4	14	1	0	28	1997
3.007	1	0	0	1	300	7	2	1	4	13	1	0	28	1997
3.00738	1	0	0	1	300	7	5	1	4	15	1	0	28	1997
3.00775	1	0	0	1	300	8	0	1	4	14	1	0	26	1845
3.00787	1	0	0	1	300	8	1	1	4	12	1	0	26	1845
3.00813	1	0	0	1	300	8	3	1	4	15	1	0	26	1845
3.0085	1	0	0	1	300	8	6	1	4	14	1	0	26	1845
3.00875	1	0	0	1	300	9	0	1	4	15	1	0	28	1997
3.009	1	0	0	1	300	9	2	1	4	13	1	0	28	1997
3.00937	1	0	0	1	300	9	5	1	4	15	1	0	28	1997
3.00963	1	0	0	1	300	9	7	1	4	14	1	0	28	1997
3.00988	1	0	0	1	301	0	1	1	4	13	1	0	28	1997
3.01025	1	0	0	1	301	0	4	1	4	15	1	0	28	1997
3.0105	1	0	0	1	301	0	6	1	4	14	1	0	28	1997
3.01075	1	0	0	1	301	1	0	1	4	13	1	0	28	1997
3.011	1	0	0	1	301	1	2	1	4	15	1	0	28	1997
3.01138	1	0	0	1	301	1	5	1	4	14	1	0	28	1997
3.01162	1	0	0	1	301	1	7	1	4	15	1	0	28	1997
3.01187	1	0	0	1	301	2	1	1	4	13	1	0	28	1997
3.01238	1	0	0	1	301	2	5	1	4	12	1	0	26	1845
3.01262	1	0	0	1	301	2	7	1	4	14	1	0	26	1845
3.01275	1	0	0	1	301	3	0	1	4	11	1	0	26	1845
3.013	1	0	0	1	301	3	2	1	4	15	1	0	26	1845
3.01337	1	0	0	1	301	3	5	1	4	14	1	0	26	1845
3.01363	1	0	0	1	301	3	7	1	4	15	1	0	26	1845
3.01388	1	0	0	1	301	4	1	1	4	13	1	0	28	1997
3.01425	1	0	0	1	301	4	4	1	4	15	1	0	28	1997
3.0145	1	0	0	1	301	4	6	1	4	14	1	0	28	1997
3.01475	1	0	0	1	301	5	0	1	4	13	1	0	28	1997
3.015	1	0	0	1	301	5	2	1	4	15	1	0	28	1997
3.01538	1	0	0	1	301	5	5	1	4	14	1	0	28	1997
3.01562	1	0	0	1	301	5	7	1	4	15	1	0	28	1997
3.01587	1	0	0	1	301	6	1	1	4	13	1	0	28	1997
3.01625	1	0	0	1	301	6	4	1	4	15	1	0	28	1997
3.0165	1	0	0	1	301	6	6	1	4	14	1	0	28	1997
3.01675	1	0	0	1	301	7	0	1	4	13	1	0	28	1997
3.017	1	0	0	1	301	7	2	1	4	15	1	0	28	1997
3.01737	1	0	0	1	301	7	5	1	4	14	1	0	28	1997
3.01775	1	0	0	1	301	8	0	1	4	13	1	0	26	1845
3.01788	1	0	0	1	301	8	1	1	4	12	1	0	26	1845
3.01825	1	0	0	1	301	8	4	1	4	15	1	0	26	1845
3.0185	1	0	0	1	301	8	6	1	4	14	1	0	26	1845
3.01875	1	0	0	1	301	9	0	1	4	13	1	0	26	1845
3.019	1	0	0	1	301	9	2	1	4	15	1	0	26	1845
3.01938	1	0	0	1	301	9	5	1	4	14	1	0	26	1845
3.01963	1	0	0	1	301	9	7	1	4	15	1	0	26	1845
3.01987	1	0	0	1	302	0	1	1	4	13	1	0	26	1845
3.02025	1	0	0	1	302	0	4	1	4	15	1	0	26	1845
3.0205	1	0	0	1	302	0	6	1	4	14	1	0	26	1845
3.02075	1	0	0	1	302	1	0	1	4	13	1	0	26	1845
3.021	1	0	0	1	302	1	2	1	4	15	1	0	26	1845
3.02137	1	0	0	1	302	1	5	1	4	14	1	0	26	1845
3.02162	1	0	0	1	302	1	7	1	4	15	1	0	26	1845
3.02188	1	0	0	1	302	2	1	1	4	13	1	0	26	1845
3.02225	1	0	0	1	302	2	4	1	4	15	1	0	28	1997
3.0225	1	0	0	1	302	2	6	1	4	14	1	0	28	1997
3.02275	1	0	0	1	302	3	0	1	4	13	1	0	28	1997
3.023	1	0	0	1	302	3	2	1	4	15	1	0	28	1997
3.02338	1	0	0	1	302	3	5	1	4	14	1	0	28	1997
3.02363	1	0	0	1	302	3	7	1	4	15	1	0	28	1997
3.02387	1	0	0	1	302	4	1	1	4	13	1	0	28	1997
3.02425	1	0	0	1	302	4	4	1	4	15	1	0	28	1997
3.0245	1	0	0	1	302	4	6	1	4	14	1	0	28	1997
3.02475	1	0	0	1	302	5	0	1	4	13	1	0	28	1997
3.02513	1	0	0	1	302	5	3	1	4	15	1	0	28	1997
3.02537	1	0	0	1	302	5	5	1	4	14	1	0	28	1997
3.02562	1	0	0	1	302	5	7	1	4	13	1	0	28	1997
3.02588	1	0	0	1	302	6	1	1	4	15	1	0	28	1997
3.02625	1	0	0	1	302	6	4	1	4	14	1	0	28	1997
3.0265	1	0	0	1	302	6	6	1	4	15	1	0	28	1997
3.02675	1	0	0	1	302	7	0	1	4	13	1	0	28	1997
3.02712	1	0	0	1	302	7	3	1	4	15	1	0	28	1997
3.02738	1	0	0	1	302	7	5	1	4	14	1	0	28	1997
3.02763	1	0	0	1	302	7	7	1	4	13	1	0	28	1997
3.02787	1	0	0	1	302	8	1	1	4	15	1	0	28	1997
3.02825	1	0	0	1	302	8	4	1	4	14	1	0	28	1997
3.0285	1	0	0	1	302	8	6	1	4	15	1	0	28	1997
3.02875	1	0	0	1	302	9	0	1	4	13	1	0	28	1997
3.02913	1	0	0	1	302	9	3	1	4	15	1	0	28	1997
3.02937	1	0	0	1	302	9	5	1	4	14	1	0	28	1997
