tstamp,gnb_x,gnb_y,gnb_vx,gnb_vy,camera_x,camera_y,camera_vx,camera_vy,ue_x,ue_y,ue_vx,ue_vy,obs_x,obs_y,obs_vx,obs_vy,Blockage,Ploss (dB),SNR (dB),Throughput (Mbit/s)
0,4,5,0,0,0.28,9.53,0,0,4.199,8.708,0,0,3.986,6.902,1,-0.5,TRUE,36.4,11.9,0
0.2,4,5,0,0,0.28,9.53,0,0,4.2,8.711,0,0,3.979,6.885,0,-0.1,TRUE,36.4,12.4,0
0.4,4,5,0,0,0.28,9.53,0,0,4.018,8.736,-0.9,0.1,3.793,7.014,-0.9,0.6,TRUE,36.4,12.3,0
0.6,4,5,0,0,0.28,9.53,0,0,4.194,8.692,0.9,-0.2,3.791,7.007,0,0,TRUE,36.4,11.5,0
0.8,4,5,0,0,0.28,9.53,0,0,4.02,8.742,-0.9,0.3,3.788,7.001,0,0,TRUE,36.5,11.4,0
1,4,5,0,0,0.28,9.53,0,0,4.19,8.683,0.9,-0.3,3.794,7.017,0,0.1,TRUE,36.3,10.7,0
1.2,4,5,0,0,0.28,9.53,0,0,4.189,8.68,0,0,3.976,6.874,0.9,-0.7,TRUE,36.3,11.4,0
1.4,4,5,0,0,0.28,9.53,0,0,4.189,8.68,0,0,3.981,6.888,0,0.1,TRUE,36.3,12.2,0
1.6,4,5,0,0,0.28,9.53,0,0,4.189,8.68,0,0,3.792,7.01,-0.9,0.6,TRUE,36.3,10.7,0
1.8,4,5,0,0,0.28,9.53,0,0,4.186,8.67,0,0,3.981,6.888,0.9,-0.6,TRUE,36.3,10.4,0
2,4,5,0,0,0.28,9.53,0,0,4.187,8.673,0,0,3.984,6.898,0,0.1,TRUE,36.3,11.4,0
2.2,4,5,0,0,0.28,9.53,0,0,4.19,8.683,0,0,3.791,7.007,-1,0.5,TRUE,36.3,12,0
2.4,4,5,0,0,0.28,9.53,0,0,4.007,8.706,-0.9,0.1,3.988,6.909,1,-0.5,TRUE,36.4,11.9,0
2.6,4,5,0,0,0.28,9.53,0,0,4.176,8.645,0.8,-0.3,3.977,6.878,-0.1,-0.2,TRUE,36.2,12.2,0
2.8,4,5,0,0,0.28,9.53,0,0,4.181,8.658,0,0.1,3.791,7.007,-0.9,0.6,TRUE,36.3,11.8,0
3,4,5,0,0,0.28,9.53,0,0,4.196,8.698,0.1,0.2,3.791,7.007,0,0,TRUE,36.4,12.1,0
3.2,4,5,0,0,0.28,9.53,0,0,4.043,8.808,-0.8,0.5,3.791,7.007,0,0,TRUE,36.6,12.5,0
3.4,4,5,0,0,0.28,9.53,0,0,4.044,8.811,0,0,3.788,7.001,0,0,TRUE,36.6,13,0
3.6,4,5,0,0,0.28,9.53,0,0,4.041,8.802,0,0,3.788,7.001,0,0,TRUE,36.6,13.1,0
3.8,4,5,0,0,0.28,9.53,0,0,4.04,8.799,0,0,3.791,7.007,0,0,TRUE,36.6,13,0
4,4,5,0,0,0.28,9.53,0,0,3.897,8.885,-0.7,0.4,3.785,6.991,0,-0.1,TRUE,36.8,13.1,0
4.2,4,5,0,0,0.28,9.53,0,0,3.922,8.953,0.1,0.3,3.785,6.991,0,0,TRUE,36.9,12.4,0
4.4,4,5,0,0,0.28,9.53,0,0,4.096,8.951,0.9,0,3.788,7.001,0,0,TRUE,36.9,12.8,0
4.6,4,5,0,0,0.28,9.53,0,0,4.094,8.945,0,0,3.792,7.01,0,0,TRUE,36.9,12.6,0
4.8,4,5,0,0,0.28,9.53,0,0,3.93,8.976,-0.8,0.2,3.794,7.017,0,0,TRUE,37,12.6,0
5,4,5,0,0,0.28,9.53,0,0,4.092,8.939,0.8,-0.2,3.794,7.017,0,0,TRUE,36.9,13.5,0
5.2,4,5,0,0,0.28,9.53,0,0,4.095,8.948,0,0,3.785,6.99,0,-0.1,TRUE,36.9,12.5,0
5.4,4.07,5,0.4,0,0.28,9.53,0,0,4.089,8.933,0,-0.1,3.983,6.895,1,-0.5,TRUE,36.9,13,0
5.6,4.14,5,0.3,0,0.28,9.53,0,0,4.075,8.894,-0.1,-0.2,3.786,6.994,-1,0.5,TRUE,36.8,13.1,0
5.8,4.26,5,0.6,0,0.28,9.53,0,0,4.055,8.838,-0.1,-0.3,3.969,6.857,0.9,-0.7,TRUE,36.7,13,0
6,4.45,5,1,0,0.28,9.53,0,0,4.045,8.811,0,-0.1,3.965,6.847,0,-0.1,TRUE,36.7,13.1,0
6.2,4.57,5,0.6,0,0.28,9.53,0,0,4.026,8.76,-0.1,-0.3,3.97,6.86,0,0.1,TRUE,36.6,12.4,0
