Time,RTT
9.10173,6.101
9.10373,5.33863
9.10448,4.67167
9.10449,4.08809
9.10535,3.57758
9.10536,3.13088
9.1066,2.74014
9.10661,2.398
9.10773,2.09863
9.10774,1.83667
9.10885,1.60759
9.10886,1.40714
9.10998,1.23175
9.10999,1.07828
9.1111,0.944244
9.11111,0.826964
9.11223,0.724343
9.11224,0.63455
9.11348,0.556107
9.11349,0.487468
9.1146,0.42741
9.11461,0.374859
9.11573,0.329001
9.11574,0.288876
9.11685,0.253767
9.11686,0.223046
9.11798,0.19629
9.11799,0.172879
9.1191,0.152519
9.11911,0.134704
9.12085,0.119241
9.12086,0.105711
9.12148,0.0937471
9.1216,0.0832787
9.12223,0.0742438
9.1226,0.0663384
9.1231,0.0594211
9.12373,0.0533684
9.12423,0.0481974
9.12623,0.0439227
9.12624,0.0400574
9.1266,0.0366752
9.12661,0.0337158
9.12773,0.0312513
9.12774,0.0289699
9.12885,0.0270987
9.12886,0.0254613
9.12998,0.0241537
9.12999,0.0228845
9.1311,0.0220239
9.13111,0.0212709
9.13235,0.020737
9.13236,0.0201449
9.13348,0.0197518
9.13349,0.0194078
9.1346,0.0192318
9.13535,0.0190779
9.13536,0.0189431
9.13635,0.0189502
9.1371,0.0190815
9.13711,0.0189463
9.13798,0.018828
9.13799,0.0187245
9.13923,0.0187589
9.13924,0.0187891
9.14035,0.0188154
9.14036,0.0188385
9.14148,0.0188587
9.14149,0.0188764
9.1426,0.0188918
9.14261,0.0189053
9.14373,0.0189172
9.14374,0.0186775
9.14498,0.0185928
9.14499,0.0185187
9.14598,0.0185789
9.14599,0.0185065
9.14723,0.0186932
9.14724,0.0187316
9.14835,0.0188901
9.14836,0.0189038
9.14948,0.0190409
9.14949,0.0191608
9.1506,0.0191407
9.15061,0.0191231
9.15173,0.0191077
9.15174,0.0190942
9.15285,0.0190825
9.15286,0.0190721
9.1541,0.0191881
9.15498,0.0191646
9.15499,0.019144
9.15573,0.019126
9.15648,0.0191103
9.15649,0.0190965
9.15748,0.0192094
9.15823,0.0194332
9.15824,0.0193791
9.15923,0.0194567
9.15998,0.0193996
9.15999,0.0193497
9.16085,0.019306
9.1616,0.0193927
9.16161,0.0194686
9.1626,0.019535
9.16335,0.0197182
9.16336,0.0197534
9.16435,0.0199092
9.16436,0.0199206
9.1656,0.0200555
9.16561,0.0200486
9.1666,0.0201675
9.16661,0.0200216
9.16773,0.0200189
9.16774,0.0198915
9.16898,0.0199051
9.16899,0.0197919
9.1701,0.0199429
9.17011,0.0199501
9.17123,0.0200813
9.17124,0.0200711
9.17235,0.0201873
9.17236,0.0201638
9.17348,0.0202684
9.17349,0.0203598
9.1746,0.0203148
9.17461,0.0202755
9.17573,0.020366
9.17648,0.0204453
9.17649,0.0203896
9.17748,0.0204659
9.17749,0.0204077
9.1786,0.0203567
9.17861,0.0203121
9.17985,0.0202731
9.17986,0.020239
9.18098,0.0203341
9.18099,0.0202923
9.1821,0.0203808
9.18211,0.0204582
9.18323,0.0205259
9.18324,0.0204602
9.18435,0.0205277
9.18436,0.0204617
9.1856,0.020529
9.18561,0.0205879
9.1866,0.0206394
9.18661,0.0206845
9.18785,0.0207239
9.18786,0.0207584
9.1896,0.0209136
9.18961,0.0210494
9.1901,0.0211682
9.19035,0.0212722
9.19085,0.0211132
9.19123,0.021099
9.19185,0.0209616
9.19235,0.0209664
9.19298,0.0208456
9.19348,0.0208649
9.1941,0.0208818
9.19473,0.0208966
9.19523,0.0209095
9.19585,0.0209208
9.19635,0.0209307
9.19698,0.0208144
9.19748,0.0208376
9.1981,0.0209829
9.19873,0.020985
9.19923,0.0211119
9.19985,0.0210979
9.20035,0.0212107
9.20098,0.0211843
9.20148,0.0212863
9.2021,0.0213755
9.20273,0.0214536
9.20323,0.0213969
9.20385,0.0213473
9.20435,0.0213039
9.20498,0.0212659
9.2056,0.0212326
9.2061,0.0213286
9.20673,0.0212875
9.20723,0.0213766
9.20785,0.0213295
9.20835,0.0214133
9.20898,0.0213616
9.2096,0.0214414
9.2101,0.0216362
9.21073,0.0215567
9.21123,0.0216121
9.21185,0.0215356
9.21235,0.0215937
9.21298,0.0216445
9.2136,0.0216889
9.2141,0.0218528
9.21473,0.0218712
9.21585,0.0220123
9.21598,0.0220107
9.21698,0.0220094
9.21773,0.0221332
9.21774,0.0221166
9.2181,0.022227
9.21873,0.0221986
9.21923,0.0222988
9.21985,0.0222614
9.22048,0.0222288
9.22098,0.0222002
9.2216,0.0223001
9.2221,0.0223876
9.22273,0.0224642
9.22323,0.0225312
9.22385,0.0225898
9.22448,0.022641
9.22498,0.0225609
9.2256,0.0226158
9.2261,0.0226638
9.22673,0.0227058
9.22723,0.0227426
9.22785,0.0227748
9.22848,0.0228029
9.22898,0.0227026
9.2296,0.0227397
9.2301,0.0227723
9.23073,0.0228007
9.23123,0.0228256
9.23248,0.0229724
9.2326,0.0229759
9.23298,0.0228539
9.2336,0.0228722
9.2341,0.0230131
9.23473,0.0230115
9.23598,0.0231351
9.23599,0.0231182
9.23648,0.0232284
9.23698,0.0231999
9.2376,0.0231749
9.2381,0.023278
9.23935,0.0233683
9.23948,0.0234472
9.23985,0.0233913
9.24048,0.0233424
9.24098,0.0232996
9.2416,0.0232622
9.2421,0.0233544
9.24273,0.0233101
9.24335,0.0233963
9.24385,0.0233468
9.24448,0.0234284
9.24498,0.0233749
9.2456,0.023453
9.24623,0.0235214
9.24673,0.0235812
9.24735,0.0236336
9.24785,0.0236794
9.24848,0.0237194
9.24898,0.0237545
9.2496,0.0237852
9.25023,0.0238121
9.25073,0.0238355
9.25135,0.0238561
9.25185,0.0238741
9.25248,0.0238898
9.25298,0.0239036
9.2536,0.0239156
9.25423,0.0239262
9.25473,0.0239354
9.25535,0.0239435
9.25585,0.0238256
9.25648,0.0238474
9.25698,0.0238664
9.2576,0.0240081
9.25885,0.0241321
9.25886,0.0241156
9.25935,0.0242261
9.25985,0.0241979
9.26048,0.0242981
9.2611,0.0243859
9.2616,0.0244626
9.26223,0.0245298
9.26273,0.0244636
9.26335,0.0244056
9.26385,0.0243549
9.26448,0.0244356
9.2651,0.0245061
9.2656,0.0245679
9.26623,0.0246219
9.26673,0.0245441
9.26798,0.0246011
9.26799,0.024526
9.26848,0.0245852
9.2691,0.0246371
9.2696,0.0246824
9.27023,0.0248471
9.27073,0.0248662
9.27135,0.024883
9.27185,0.0248976
9.27248,0.0249104
9.2731,0.0250466
9.2736,0.0250408
9.27423,0.0251607
9.27473,0.0251406
9.27535,0.025123
9.27598,0.0251076
9.27648,0.0250942
9.2771,0.0252074
9.2776,0.0251815
9.27823,0.0252838
9.27873,0.0252483
9.27935,0.0252173
9.27998,0.0251901
9.28048,0.0251664
9.28173,0.0252706
9.28174,0.0253617
9.28223,0.0254415
9.28273,0.0255113
9.28335,0.0255724
9.28398,0.0255009
9.28448,0.0255633
9.2851,0.0256178
9.2856,0.0256656
9.28623,0.0257074
9.28685,0.025619
9.28735,0.0256666
9.28798,0.0255833
9.28848,0.0256354
9.2891,0.025681
9.2896,0.0257208
9.29023,0.0257557
9.29085,0.0256613
9.29135,0.0257036
9.29198,0.0256157
9.29248,0.0256637
9.2931,0.0257057
9.2936,0.0257425
9.29423,0.0258997
9.29535,0.0260372
9.29536,0.0260326
9.29648,0.0261535
9.29649,0.0261343
9.2976,0.0262425
9.29761,0.0262122
9.29885,0.0263107
9.29886,0.0262719
9.29998,0.0262379
9.29999,0.0262081
9.3011,0.0263071
9.30111,0.0263937
9.30223,0.0264695
9.30224,0.0265358
9.30335,0.0265938
9.30336,0.0265196
9.30448,0.0265797
9.30449,0.0265072
9.30573,0.0265688
9.30574,0.0266227
9.30685,0.0266699
9.30686,0.0267111
9.30798,0.0267472
9.30799,0.0266538
9.3091,0.0268221
9.30911,0.0268443
9.31023,0.0269888
9.31024,0.0269902
9.31135,0.0271164
9.31136,0.0271019
9.3126,0.0270891
9.31261,0.027078
9.31373,0.0270682
