Time,Cwnd
3.00053,14480
9.10173,14480
9.10373,15928
9.10448,18824
9.10449,21720
9.10535,24616
9.10536,27512
9.1066,30408
9.10661,33304
9.10773,36200
9.10774,39096
9.10885,41992
9.10886,44888
9.10998,47784
9.10999,50680
9.1111,53576
9.11111,56472
9.11223,59368
9.11224,62264
9.11348,65160
9.11349,68056
9.1146,70952
9.11461,73848
9.11573,76744
9.11574,79640
9.11685,82536
9.11686,85432
9.11798,88328
9.11799,91224
9.1191,94120
9.12423,95568
9.12999,97016
9.13635,98464
9.14149,99912
9.14724,101360
9.15286,102808
9.15923,104256
9.16436,105704
9.17011,107152
9.17648,108600
9.1821,110048
9.18785,111496
9.19298,112944
9.19873,114392
9.20435,115840
9.2101,117288
9.21598,118736
9.2216,120184
9.22723,121632
9.23298,123080
9.23935,124528
9.24448,125976
9.25023,127424
9.25585,128872
9.2616,130320
9.26798,131768
9.2731,133216
9.27873,134664
9.28448,136112
9.29023,137560
9.29648,139008
9.30223,140456
9.30798,141904
9.31373,143352
9.31998,144800
9.3246,146248
9.33023,147696
9.3366,149144
9.34235,150592
9.34798,152040
9.35373,153488
9.35948,154936
9.36523,156384
9.37085,157832
9.3766,159280
9.38235,160728
9.3881,162176
9.39385,163624
9.39948,165072
9.40523,166520
9.41098,167968
9.41673,169416
9.42235,170864
9.4281,172312
9.43385,173760
9.4396,175208
9.44523,176656
9.45098,178104
9.45673,179552
9.46248,181000
9.46823,182448
9.47385,183896
9.4796,185344
9.48535,186792
9.4911,188240
9.49673,189688
9.50248,191136
9.50823,192584
9.51398,194032
9.52035,195480
9.52535,196928
9.5311,198376
9.53685,199824
9.5426,201272
9.54823,202720
9.55398,204168
9.55973,205616
9.5656,207064
9.57123,208512
9.57685,209960
9.5826,211408
9.58835,212856
9.5941,214304
9.59973,215752
9.60498,214905
9.60499,215506
9.60573,216107
9.60574,216708
9.60648,217309
9.60649,217910
9.6065,218511
9.60651,219111
9.60653,219712
9.60723,217200
9.60724,215752
9.60798,214304
9.60799,212856
9.60873,211408
9.60874,209960
9.60948,208512
9.60949,207064
9.61023,205616
9.61024,205543
9.61025,202720
9.61026,201272
9.61028,199824
9.61098,198376
9.61099,196928
9.61173,195480
9.61174,194032
9.61248,192584
9.61249,191136
9.61385,191374
9.61386,189688
9.6146,188240
9.61461,186792
9.61463,185344
9.61464,183896
9.61465,182448
9.61466,181000
9.61467,179552
9.61535,178104
9.61536,177205
9.6161,175208
9.61611,173760
9.61685,172312
9.61686,170864
9.61688,169416
9.6176,167968
9.61761,166520
9.61835,165072
9.61836,163624
9.61838,163036
9.61839,160728
9.6191,159280
9.61911,157832
9.61985,156384
9.61986,154936
9.6206,153488
9.62061,152040
9.62135,150592
9.64748,152040
9.66535,153488
9.70198,154936
9.7391,156384
9.7771,157832
9.81523,159280
9.8541,160728
9.8936,162176
9.93423,163624
9.9756,165072
10.0177,166520
10.0601,167968
10.1036,169416
10.1476,170864
10.1935,172312
10.2404,173760
10.2867,175208
10.3354,176656
10.3851,178104
10.4366,179552
10.4881,181000
10.5425,182448
10.5969,183896
10.6539,185344
10.6784,184494
10.6786,185092
10.679,185689
10.6792,186287
10.6795,186884
10.6797,187482
10.6801,188080
10.6804,188677
10.6806,189275
10.6816,189872
10.6816,190470
10.6816,188240
10.6819,186792
10.6821,185344
10.6824,183896
10.6826,182448
10.683,181000
10.6832,179552
10.6835,178104
10.6839,176656
10.6841,175208
10.685,173760
10.685,174100
10.6851,172312
10.6852,170864
10.6856,169416
10.6857,167968
10.6861,166520
10.6864,165072
10.6866,163624
10.687,162176
10.6872,160728
10.6875,159280
10.6885,157832
10.6885,156384
10.6885,154936
10.6886,153488
10.689,152040
10.6892,150592
10.6895,149144
10.6899,147696
10.6901,146248
10.691,144800
10.691,143352
10.6911,141904
10.6912,140763
10.6915,139008
10.6917,137560
10.6921,136112
10.6924,134664
10.6926,133216
10.693,131768
10.6932,130320
10.6935,128872
10.7147,130320
10.761,131768
10.824,133216
10.8726,134664
10.923,136112
10.973,137560
11.0242,139008
11.0757,140456
11.1272,141904
11.1794,143352
11.232,144800
11.286,146248
11.3395,147696
11.3951,149144
11.45,150592
11.5056,152040
11.5615,153488
11.6189,154936
11.676,156384
11.7332,157832
11.7916,159280
11.8511,160728
11.9106,162176
11.9701,163624
12.0307,165072
12.0914,166520
12.1532,167968
12.215,169416
12.278,170864
12.3409,172312
12.405,173760
12.469,175208
12.5342,176656
12.5995,178104
12.6647,179552
12.7311,181000
12.7986,182448
12.8661,183896
12.9336,185344
12.9997,184494
12.9997,185092
13.0005,185689
13.0005,186287
13.0005,186884
13.0012,187482
13.0012,188080
13.0013,188677
13.002,189275
13.002,189872
13.002,190470
13.0029,188240
13.0029,186792
13.0036,185344
13.0036,183896
13.0036,182448
13.0044,181000
13.0044,179552
13.0051,178104
13.0051,176656
13.0051,175208
13.0059,173760
13.0059,174100
13.0059,172312
13.0066,170864
13.0066,169416
13.0074,167968
13.0074,166520
13.0074,165072
13.0081,163624
13.0081,162176
13.0081,160728
13.0089,159280
13.0089,157832
13.0096,156384
13.0096,154936
13.0096,153488
13.0104,152040
13.0104,150592
13.0111,149144
13.0111,147696
13.0111,146248
13.0111,144800
13.012,143352
13.012,141904
13.012,140763
13.0129,139008
13.0129,137560
13.0129,136112
13.0137,134664
13.0137,133216
13.0138,131768
13.0146,130320
13.0146,128872
13.0357,130320
13.0572,131768
13.0974,133216
13.1385,134664
13.1814,136112
13.2237,137560
13.2672,139008
13.3119,140456
13.3565,141904
13.4034,143352
13.4504,144800
13.4996,146248
13.5487,147696
13.5991,149144
13.6517,150592
13.7056,152040
13.7605,153488
13.8177,154936
13.8761,156384
13.9367,157832
13.9985,159280
14.0637,160728
14.1301,162176
14.1999,163624
14.2731,165072
14.3487,166520
14.4287,167968
14.5135,169416
14.6016,170864
14.696,172312
14.7612,173760
14.8254,175208
14.89,176656
14.9552,178104
15.0216,179552
15.088,181000
15.1544,182448
15.2219,183896
15.2903,183039
15.2911,183630
15.2911,184221
15.2911,184812
15.292,185402
15.292,185993
15.292,186584
15.2927,187175
15.2927,187766
15.2928,188356
15.2936,188947
15.2936,186792
15.2936,185344
15.2945,183896
15.2945,182448
15.2945,181000
15.2954,179552
15.2954,178104
15.2954,176656
15.2962,175208
15.2962,173760
15.2963,172312
15.2971,172307
15.2971,169416
15.2971,167968
15.298,166520
15.298,165072
15.298,163624
15.2989,162176
15.2989,160728
15.2989,159280
15.2996,157832
15.2996,156384
15.2996,155077
15.3005,153488
15.3005,152040
15.3005,150592
15.3014,149144
15.3014,147696
15.3014,146248
15.3022,144800
15.3022,143352
15.3023,141904
15.3031,140456
15.3031,139008
15.3031,138437
15.304,136112
15.304,134664
15.304,133216
15.3056,131768
15.3056,130320
15.3056,128872
15.3064,127424
15.3262,128872
15.3377,130320
15.4332,131768
15.4819,133216
15.5311,134664
15.5815,136112
15.6319,137560
15.6821,139008
15.7336,140456
15.7864,141904
15.8379,143352
15.8916,144800
15.9442,146248
15.9991,147696
16.053,149144
16.109,150592
16.164,152040
16.22,153488
16.2772,154936
16.3345,156384
16.3917,157832
16.45,159280
16.5096,160728
16.5691,162176
16.6286,163624
16.6892,165072
16.7499,166520
16.8116,167968
16.8735,169416
16.9364,170864
16.9994,172312
17.0635,173760
17.1275,175208
17.1927,176656
17.258,178104
17.3232,179552
17.3896,181000
17.4571,182448
17.5246,183896
17.5921,185344
17.5937,184494
17.5937,185092
17.5938,185689
17.5945,186287
17.5945,186884
17.5959,187482
17.5959,188080
17.5959,188677
17.5966,189275
17.5966,189872
17.5966,190470
17.5966,188240
17.5967,186792
17.5974,185344
17.5974,183896
17.5981,182448
17.5981,181000
17.5981,179552
17.5989,178104
17.5989,176656
17.5996,175208
17.5996,173760
17.5996,174100
17.6004,172312
17.6004,170864
17.6004,169416
17.6011,167968
17.6011,166520
17.6019,165072
17.6019,163624
17.6019,162176
17.6026,160728
17.6026,159280
17.6034,157832
17.6034,156384
17.6034,154936
17.6041,153488
17.6041,152040
17.605,150592
17.605,149144
17.605,147696
17.6057,146248
17.6057,144800
17.6065,143352
17.6065,141904
17.6065,140763
17.6072,139008
17.6072,137560
17.608,136112
17.608,134664
17.608,133216
17.608,131768
17.608,130320
17.6087,128872
17.6296,130320
17.6511,131768
17.6922,133216
17.7324,134664
17.7746,136112
17.817,137560
17.8605,139008
17.9051,140456
17.9509,141904
17.9967,143352
18.0447,144800
18.0929,146248
18.1431,147696
18.1935,149144
18.2461,150592
18.3,152040
18.355,153488
18.411,154936
18.4694,156384
18.53,157832
18.5929,159280
18.657,160728
18.7245,162176
18.7944,163624
18.8676,165072
18.9431,166520
19.0232,167968
19.1067,169416
19.196,170864
19.2899,172312
19.3551,173760
19.4191,175208
19.4832,176656
19.5485,178104
19.615,179552
19.6812,181000
19.7476,182448
20.7991,1448
22.9019,181000
22.9039,182448
22.9046,183896
22.9046,185344
22.9059,186792
22.9059,188240
22.907,189688
22.907,191136
22.9081,192584
22.9081,194032
22.9092,195480
22.9092,196928
22.9104,198376
22.9104,199824
22.9115,201272
22.9115,202720
22.9127,204168
22.9127,205616
22.9139,207064
22.9139,208512
22.915,209960
22.915,211408
22.9161,212856
22.9161,214304
22.9172,215752
22.9172,217200
22.9184,218648
22.9184,220096
22.9196,221544
22.9196,222992
22.9207,224440
22.9207,225888
22.9219,227336
22.9219,228784
22.923,230232
22.923,231680
22.9241,233128
22.9241,234576
22.9252,236024
22.9252,237472
22.9264,238920
22.9264,240368
22.9276,241816
22.9276,243264
22.9287,244712
22.9287,246160
22.9299,247608
22.9299,249056
22.931,250504
22.931,251952
22.9321,253400
22.9321,254848
22.9332,256296
22.9332,257744
22.9345,259192
22.9345,260640
22.9356,262088
22.9356,263536
22.9367,264984
22.9367,266432
22.9379,267880
22.9379,269328
22.939,270776
22.939,272224
22.9401,273672
22.9401,275120
22.9412,276568
22.9412,278016
22.9425,279464
22.9425,280912
22.9436,282360
22.9436,283808
22.9447,285256
22.9447,286704
22.9459,288152
22.9459,289600
22.947,291048
22.947,292496
22.9481,293944
22.9481,295392
22.9494,296840
22.9494,298288
22.9505,299736
22.9505,301184
22.9516,302632
22.9516,304080
22.9527,305528
22.9527,306976
22.9539,308424
22.9539,309872
22.955,311320
22.955,312768
22.9561,314216
22.9561,315664
22.9574,317112
22.9574,318560
22.9585,320008
22.9585,321456
22.9596,322904
22.9596,324352
22.9607,325800
22.9607,327248
22.9619,328696
22.9619,330144
22.963,331592
22.963,333040
22.9642,334488
22.9642,335936
22.9654,337384
22.9654,338832
22.9665,340280
22.9665,341728
22.9676,343176
22.9676,344624
22.9687,346072
22.9687,347520
22.9699,348968
22.9699,350416
22.971,351864
22.971,353312
22.9722,354760
22.9722,356208
22.9734,357656
22.9734,359104
22.9745,360552
22.9745,362000
22.9756,363448
22.9756,364896
22.9767,366344
22.9767,367792
22.9779,369240
22.9779,370688
22.9791,372136
22.9791,373584
22.9802,375032
22.9802,376480
22.9814,377928
22.9814,379376
22.9825,380824
22.9825,382272
22.9836,383720
22.9836,385168
22.9847,386616
22.9847,388064
22.986,389512
22.986,390960
22.9871,392408
22.9871,393856
22.9882,395304
22.9882,396752
22.9894,398200
22.9894,399648
22.9905,401096
22.9905,402544
22.9916,403992
22.9916,405440
22.9927,406888
22.9927,408336
22.994,409784
22.994,411232
22.9951,412680
22.9951,414128
22.9962,415576
22.9962,417024
22.9974,418472
22.9974,419920
22.9985,421368
22.9985,422816
22.9996,424264
22.9996,425712
23.0009,427160
23.0009,428608
23.002,430056
23.002,431504
23.0031,432952
23.0031,434400
23.0042,435848
23.0042,437296
23.0054,438744
23.0054,440192
23.0065,441640
23.0065,443088
23.0076,444536
23.0076,445984
23.0089,447432
23.0089,448880
23.01,450328
23.01,451776
23.0111,453224
23.0111,454672
23.0122,456120
23.0122,457568
23.0134,459016
23.0134,460464
23.0145,461912
23.0145,463360
23.0157,464808
23.0157,466256
23.0169,467704
23.0169,469152
23.018,470600
23.018,472048
23.0191,473496
23.0191,474944
23.0202,476392
23.0202,477840
23.0214,479288
23.0214,480736
23.0225,482184
23.0225,483632
23.0237,485080
23.0237,486528
23.025,487976
23.025,489424
23.026,490872
23.026,492320
23.0271,493768
23.0271,495216
23.0282,496664
23.0282,498112
23.0294,499560
23.0294,501008
