Time,Cwnd
3.00053,14480
3.0021,14480
3.0041,15928
3.00411,18824
3.00523,21720
3.00524,24616
3.00698,27512
3.00699,30408
3.00748,33304
3.00749,36200
3.0086,39096
3.00861,41992
3.01436,43440
3.02011,44888
3.02586,46336
3.03149,47784
3.03724,49232
3.04299,50680
3.04874,52128
3.05449,53576
3.06011,55024
3.06586,56472
3.07161,57920
3.07736,59368
3.08299,60816
3.08874,62264
3.09449,63712
3.10024,65160
3.10599,66608
3.11161,68056
3.11736,69504
3.12311,70952
3.12886,72400
3.13449,73848
3.14024,75296
3.14599,76744
3.15174,78192
3.15736,79640
3.16311,81088
3.16886,82536
3.17461,83984
3.18036,85432
3.18599,86880
3.19174,88328
3.19749,89776
3.20324,91224
3.20886,92672
3.21461,94120
3.22036,95568
3.22611,97016
3.23186,98464
3.23749,99912
3.24324,101360
3.24899,102808
3.25474,104256
3.26036,105704
3.26611,107152
3.27186,108600
3.27761,110048
3.28336,111496
3.28899,112944
3.29474,114392
3.30049,115840
3.30624,117288
3.31186,118736
3.31761,120184
3.32336,121632
3.32911,123080
3.33499,124528
3.34049,125976
3.34624,127424
3.35199,128872
3.35774,130320
3.36336,131768
3.36911,133216
3.37499,134664
3.38061,136112
3.38624,137560
3.39199,139008
3.39774,140456
3.40349,141904
3.40924,143352
3.41499,144800
3.42061,146248
3.42636,147696
3.43211,149144
3.43774,150592
3.44349,152040
3.44924,153488
3.45499,154936
3.46074,156384
3.46636,157832
3.47211,159280
3.47786,160728
3.48361,162176
3.48924,163624
3.49499,165072
3.50074,166520
3.50649,167968
3.51224,169416
3.51786,170864
3.52361,172312
3.52936,173760
3.53511,175208
3.54074,176656
3.54649,178104
3.55224,179552
3.55799,181000
3.56374,182448
3.56936,183896
3.57511,185344
3.58086,186792
3.58724,188240
3.59224,189688
3.59799,191136
3.60374,192584
3.60949,194032
3.61524,195480
3.62086,196928
3.62661,198376
3.63236,199824
3.63811,201272
3.64374,202720
3.64949,204168
3.65524,205616
3.66099,207064
3.66661,208512
3.67236,209960
3.67811,211408
3.68386,212856
3.68961,214304
3.69524,215752
3.70035,214905
3.70036,215506
3.7011,216107
3.70111,216708
3.70185,217309
3.70186,217910
3.7026,218511
3.70261,219111
3.70263,219712
3.70264,217200
3.70265,215752
3.70335,214304
3.70336,212856
3.7041,211408
3.70411,209960
3.70498,208512
3.70499,207064
3.70573,205616
3.70574,205543
3.70575,202720
3.70648,201272
3.70649,199824
3.70723,198376
3.70724,196928
3.70725,195480
3.70726,194032
3.70798,192584
3.70799,191136
3.708,191374
3.70873,189688
3.70874,188240
3.70948,186792
3.70949,185344
3.71023,183896
3.71024,182448
3.71025,181000
3.71026,179552
3.71028,178104
3.71098,177205
3.71099,175208
3.71173,173760
3.71174,172312
3.71248,170864
3.71249,169416
3.71323,167968
3.71324,166520
3.71398,165072
3.71399,163624
3.714,163036
3.71401,160728
3.71403,159280
3.71473,157832
3.71474,156384
3.71548,154936
3.71549,153488
3.71623,152040
3.71624,150592
3.74249,152040
3.77685,153488
3.81348,154936
3.85123,156384
3.88898,157832
3.92673,159280
3.9656,160728
4.00573,162176
4.04573,163624
4.08698,165072
4.12923,166520
4.1716,167968
4.2151,169416
4.25973,170864
4.3056,172312
4.35123,173760
4.39823,175208
4.44748,176656
4.4966,178104
4.5481,179552
4.5996,181000
4.65335,182448
4.70835,183896
4.7656,185344
4.82023,184494
4.82024,185092
4.82098,185689
4.82099,186287
4.821,186884
4.82173,187482
4.82174,188080
4.82175,188677
4.82248,189275
4.82249,189872
4.82323,190470
4.82324,188240
4.82325,186792
4.82398,185344
4.82399,183896
4.82473,182448
4.82474,181000
4.82475,179552
4.82548,178104
4.82549,176656
4.8255,175208
4.82623,173760
4.82624,174100
4.82698,172312
4.82699,170864
4.827,169416
4.82773,167968
4.82774,166520
4.82775,165072
4.82848,163624
4.82849,162176
4.82923,160728
4.82924,159280
4.82925,157832
4.82998,156384
4.82999,154936
4.83073,153488
4.83074,152040
4.83075,150592
4.83148,149144
4.83149,147696
4.8315,146248
4.83223,144800
4.83224,143352
4.83298,141904
4.83299,140763
4.833,139008
4.83373,137560
4.83374,136112
4.83375,134664
4.83448,133216
4.83449,131768
4.83523,130320
4.83524,128872
4.85624,130320
4.91561,131768
4.96473,133216
