time,throughput_mbps,sinr_db,is_blocked
0.1,0,30.6471,1
0.2,0,30.6471,1
0.3,0,30.6471,1
0.4,0,30.6471,1
0.5,0,30.6471,1
0.6,0,30.6471,1
0.7,0,30.6471,1
0.8,0,30.6471,1
0.9,0,30.6471,1
1,0,30.6471,1
1.1,0,30.6471,1
1.2,0,30.6471,1
1.3,0,30.6471,1
1.4,0,30.6471,1
1.5,0,30.6471,1
1.6,0,30.6471,1
1.7,0,30.6471,1
1.8,0,30.6471,1
1.9,0,30.6471,1
2,0,30.6471,1
2.1,0,30.6471,1
2.2,0,30.6471,1
2.3,0,30.6471,1
2.4,0,30.6471,1
2.5,0,30.6471,1
2.6,0,30.6471,1
2.7,0,30.6471,1
2.8,0,30.6471,1
2.9,0,30.6471,1
3,0,30.6471,1
3.1,0,-6.31438,1
3.2,0,-6.31438,1
3.3,0,-6.31438,1
3.4,0,-6.31438,1
3.5,0,-6.31438,1
3.6,0,-6.31438,1
3.7,0,-6.31438,1
3.8,0,-6.31438,1
3.9,0,-6.31438,1
4,0,-6.31438,1
4.1,0,-6.31438,1
4.2,0,-6.31438,1
4.3,0,-6.31438,1
4.4,0,-6.31438,1
4.5,0,-6.31438,1
4.6,0,-6.31438,1
4.7,0,-6.31438,1
4.8,0,-6.31438,1
4.9,0,-6.31438,1
5,0,-6.31438,1
5.1,0,-6.31438,1
5.2,0,-6.31438,1
5.3,0,-6.31438,1
5.4,0,-6.31438,1
5.5,0,-6.31438,1
5.6,0,-6.31438,1
5.7,0,-6.31438,1
5.8,0,-6.31438,1
5.9,0,-6.31438,1
6,0,-6.31438,1
6.1,0,-6.31438,1
6.2,0,-6.31438,1
6.3,0,-6.31438,1
6.4,0,-6.31438,1
6.5,0,-6.31438,1
6.6,0,-6.31438,1
6.7,0,-6.31438,1
6.8,0,-6.31438,1
6.9,0,-6.31438,0
7,0,-6.31438,0
7.1,0,-6.31438,1
7.2,0,-6.31438,1
7.3,0,-6.31438,1
7.4,0,-6.31438,1
7.5,0,-6.31438,1
7.6,0,-6.31438,0
7.7,0,-6.31438,0
7.8,0,-6.31438,0
7.9,0,-6.31438,0
8,0,-6.31438,0
8.1,0,-6.31438,0
8.2,0,-6.31438,1
8.3,0,-6.31438,0
8.4,0,-6.31438,0
8.5,0,-6.31438,0
8.6,0,-6.31438,0
8.7,0,-6.31438,0
8.8,0,-6.31438,0
8.9,0,-6.31438,0
9,0,-6.31438,0
9.1,0,24.694,0
9.2,39.5014,25.4721,0
9.3,40.544,25.7961,0
9.4,40.4282,26.4946,0
9.5,40.544,26.2144,0
9.6,40.4282,26.4223,0
9.7,40.544,26.2211,0
9.8,40.4282,25.2478,0
9.9,40.544,25.4084,0
10,40.4282,26.1548,0
10.1,40.544,26.1719,0
10.2,40.544,25.8956,0
10.3,40.4282,25.9944,0
10.4,40.544,25.46,0
10.5,40.4282,25.947,0
10.6,40.544,25.4263,0
10.7,31.161,25.5685,0
10.8,49.8112,25.2406,0
10.9,40.4282,25.3265,0
11,40.544,25.1914,0
11.1,40.4282,25.3612,0
11.2,40.544,25.761,0
11.3,40.4282,25.2633,0
11.4,40.544,25.6156,0
11.5,40.4282,25.459,0
11.6,40.544,25.7488,0
11.7,40.544,26.697,0
11.8,40.4282,27.6502,0
11.9,40.544,27.8788,0
12,40.4282,26.9122,0
12.1,40.544,27.3092,0
12.2,40.4282,27.3782,0
12.3,40.544,28.3854,0
12.4,40.4282,28.916,0
12.5,40.544,28.7626,0
12.6,40.4282,29.1555,0
12.7,40.544,29.6343,0
12.8,40.4282,29.4489,0
12.9,40.544,29.1426,0
13,39.6173,28.8668,0
13.1,41.3549,29.622,0
13.2,40.544,30.2171,0
13.3,40.4282,30.3938,0
13.4,40.544,31.1884,0
13.5,40.4282,31.2496,0
13.6,40.544,31.5706,0
13.7,40.4282,31.0664,0
13.8,40.544,31.4582,0
13.9,40.4282,31.868,0
14,40.544,31.8783,0
14.1,40.4282,31.8493,0
14.2,40.544,31.3616,0
14.3,40.4282,31.1924,0
14.4,40.544,31.0559,0
14.5,40.544,31.3768,0
14.6,40.4282,31.4293,0
14.7,40.544,31.9755,0
14.8,40.4282,31.8486,0
14.9,40.544,31.3886,0
15,40.4282,30.9338,0
15.1,40.544,31.6268,0
15.2,40.4282,31.0964,0
15.3,36.0262,31.8922,0
15.4,44.9459,32.1121,0
15.5,40.544,31.7304,0
15.6,40.4282,30.8544,0
15.7,40.544,31.0168,0
15.8,40.4282,31.3558,0
15.9,40.544,30.7769,0
16,40.544,30.7769,0
16.1,40.4282,30.9926,0
16.2,40.544,30.7302,0
16.3,40.4282,29.1028,0
16.4,40.544,29.119,0
16.5,40.4282,28.597,0
16.6,40.544,28.543,0
16.7,40.4282,28.4021,0
16.8,40.544,28.4521,0
16.9,40.4282,28.728,0
17,40.544,28.4417,0
17.1,40.4282,28.3654,0
17.2,40.544,28.5272,0
17.3,40.4282,27.9129,0
17.4,40.544,28.2239,0
17.5,40.544,27.2628,0
17.6,37.0688,27.406,0
17.7,43.9034,26.8728,0
17.8,40.4282,28.1508,0
17.9,40.544,27.6169,0
18,40.4282,27.9226,0
18.1,40.544,27.1392,0
18.2,40.4282,26.6397,0
18.3,40.544,26.9666,0
18.4,40.4282,26.9346,0
18.5,40.544,28.3198,0
18.6,40.4282,27.7143,0
18.7,40.544,28.0403,0
18.8,40.4282,28.2996,0
18.9,40.544,27.6207,0
19,40.544,28.0127,0
19.1,40.4282,28.4608,0
19.2,40.544,28.155,0
19.3,40.4282,28.7611,0
19.4,40.544,29.4366,0
19.5,40.4282,29.3755,0
19.6,40.544,30.5264,0
19.7,40.4282,30.8432,0
19.8,40.544,29.7053,1
19.9,0,1.91756,1
20,0,1.91756,1
20.1,0,1.91756,1
20.2,0,1.91756,1
20.3,0,1.91756,1
20.4,0,1.91756,1
20.5,0,1.91756,1
20.6,0,1.91756,1
20.7,0,1.91756,1
20.8,0,3.41142,1
20.9,0,3.36638,1
21,0,3.36638,1
21.1,0,3.36638,1
21.2,0,3.36638,1
21.3,0,3.36638,1
21.4,0,3.36638,1
21.5,0,3.36638,0
21.6,0,3.36638,0
21.7,0,3.36638,0
21.8,0,3.36638,0
21.9,0,3.36638,0
22,0,3.36638,0
22.1,0,3.36638,0
22.2,0,3.36638,0
22.3,0,3.36638,0
22.4,0,3.36638,0
22.5,0,3.36638,0
22.6,0,3.36638,0
22.7,0,3.36638,0
22.8,0,30.0704,0
22.9,0,30.2507,0
23,53.2864,30.395,0
23.1,14.7117,30.8399,0
23.2,40.6598,30.7392,0
23.3,62.6694,30.4414,0
23.4,43.6717,30.3776,0
23.5,40.4282,30.3967,0
23.6,39.849,29.642,0
23.7,41.239,30.2903,0
23.8,40.4282,30.5279,0
23.9,40.544,30.1484,0
24,40.4282,30.5449,0
24.1,40.544,30.0496,0
24.2,40.4282,30.0496,0
24.3,40.544,30.2474,0
24.4,40.4282,30.1877,0
24.5,40.544,29.9608,0
24.6,40.4282,29.9608,0
