time,throughput_mbps,sinr_db,is_blocked
0.1,0,31.7793,1
0.2,0,31.7793,1
0.3,0,31.7793,1
0.4,0,31.7793,1
0.5,0,31.7793,1
0.6,0,31.7793,1
0.7,0,31.7793,1
0.8,0,31.7793,1
0.9,0,31.7793,0
1,0,31.7793,0
1.1,0,31.7793,0
1.2,0,31.7793,0
1.3,0,31.7793,0
1.4,0,31.7793,0
1.5,0,31.7793,0
1.6,0,31.7793,0
1.7,0,31.7793,0
1.8,0,31.7793,0
1.9,0,31.7793,0
2,0,31.7793,0
2.1,0,31.7793,0
2.2,0,31.7793,0
2.3,0,31.7793,0
2.4,0,31.7793,0
2.5,0,31.7793,0
2.6,0,31.7793,0
2.7,0,31.7793,0
2.8,0,31.7793,0
2.9,0,31.7793,0
3,0,31.7793,0
3.1,39.3856,26.5822,0
3.2,40.4282,27.0088,0
3.3,40.544,26.5608,0
3.4,40.4282,26.4496,0
3.5,40.544,26.9076,0
3.6,40.544,26.9106,0
3.7,39.7331,26.8742,0
3.8,41.239,26.9335,0
3.9,40.4282,26.5234,0
4,40.544,26.3218,0
4.1,40.4282,26.1465,0
4.2,40.544,26.4187,0
4.3,40.4282,26.2374,0
4.4,40.544,26.5104,0
4.5,40.4282,26.3924,0
4.6,40.544,26.6975,0
4.7,40.4282,27.189,0
4.8,40.544,28.5073,0
4.9,40.544,27.9671,0
5,40.4282,28.5388,0
5.1,40.544,28.2675,0
5.2,40.4282,28.1364,0
5.3,40.544,28.4837,0
5.4,40.4282,28.4234,0
5.5,40.544,29.9845,0
5.6,40.4282,30.17,0
5.7,40.544,29.9431,0
5.8,40.4282,29.5062,0
5.9,40.544,30.6764,0
6,40.4282,30.3828,0
6.1,40.544,30.5866,0
6.2,40.4282,30.5931,0
6.3,40.544,30.2293,0
6.4,40.544,30.6798,0
6.5,40.4282,29.9515,0
6.6,40.544,30.1287,0
6.7,40.4282,30.122,0
6.8,40.544,30.197,0
6.9,40.4282,30.5644,0
7,40.544,30.3978,0
7.1,29.8867,30.6215,0
7.2,51.0854,30.3989,0
7.3,40.4282,29.2797,0
7.4,40.544,29.8063,0
7.5,40.4282,29.7082,0
7.6,40.544,29.3168,0
7.7,40.4282,29.8338,0
7.8,40.544,29.6874,0
7.9,40.544,29.4171,0
8,40.4282,30.0289,0
8.1,40.544,30.4995,0
8.2,40.4282,30.8247,0
8.3,40.544,30.5971,0
8.4,40.4282,29.8044,0
8.5,40.544,30.1704,0
8.6,40.4282,30.1903,0
8.7,40.544,30.4301,0
8.8,40.4282,29.7973,0
8.9,40.544,29.8417,0
9,40.4282,30.2496,0
9.1,40.544,30.5127,0
9.2,40.4282,30.6368,0
9.3,40.544,30.1287,0
9.4,40.544,30.3618,0
9.5,40.4282,30.07,0
9.6,40.544,30.437,0
9.7,40.4282,30.6265,0
9.8,40.544,30.6925,0
9.9,40.4282,30.965,0
10,40.544,30.6663,0
10.1,40.4282,31.6899,0
10.2,40.544,32.3505,0
10.3,40.4282,31.7435,0
10.4,40.544,31.5421,0
10.5,40.4282,31.9496,0
10.6,40.544,31.708,0
10.7,40.4282,32.497,0
10.8,40.544,32.3262,0
