Time,RTT
3.0021,0.002
3.00523,0.002125
3.00524,0.00223437
3.00698,0.00245508
3.00699,0.00264819
3.00748,0.00269217
3.00749,0.00273065
3.0086,0.00288932
3.00861,0.00290315
3.00973,0.00304026
3.00974,0.00316022
3.01098,0.0033902
3.01099,0.00346642
3.0121,0.00378312
3.01211,0.00406023
3.01323,0.0044277
3.01324,0.00462424
3.01435,0.00492121
3.01436,0.00518106
3.01623,0.00565842
3.01624,0.00595112
3.0166,0.00620723
3.01661,0.00643133
3.01785,0.00675241
3.01786,0.00690836
3.01898,0.00716981
3.01899,0.00727359
3.0201,0.00761439
3.02011,0.00766259
3.02123,0.00782976
3.02124,0.00785104
3.02235,0.00799466
3.02236,0.00799533
3.02348,0.00812091
3.02349,0.0079808
3.0246,0.0079832
3.02461,0.0079853
3.02585,0.00811213
3.02586,0.00809812
3.02698,0.00821085
3.02699,0.0081845
3.0281,0.00841143
3.02811,0.00836
3.02923,0.00844
3.02924,0.00851
3.03035,0.00857125
3.03036,0.00862484
3.03148,0.00867174
3.03149,0.00871277
3.03273,0.00874867
3.03274,0.00878009
3.03385,0.00880758
3.03386,0.00883163
3.03498,0.00885268
3.03499,0.00887109
3.0361,0.0090122
3.03611,0.00913568
3.03723,0.00911872
3.03724,0.00910388
3.03835,0.00909089
3.03836,0.00907953
3.0396,0.00906959
3.03961,0.00906089
3.04073,0.00905328
3.04074,0.00904662
3.04185,0.00916579
3.04186,0.00914507
3.04298,0.00925193
3.04299,0.00922044
3.0441,0.00944288
3.04411,0.00951252
3.04523,0.00969846
3.04524,0.00961115
3.04635,0.00965976
3.04636,0.00957728
3.0476,0.00963012
3.04761,0.00955136
3.04873,0.00960744
3.04874,0.00953151
3.04985,0.00959007
3.04986,0.00951631
3.05098,0.00957677
3.05099,0.00950467
3.0521,0.00969159
3.05211,0.00973014
3.05323,0.00988887
3.05324,0.0100278
3.05448,0.0100243
3.05449,0.0100213
3.0556,0.0100186
3.05561,0.0100163
3.05673,0.0100142
3.05674,0.0100125
3.05785,0.0100109
3.05786,0.0100095
3.05898,0.0100083
3.05899,0.0100073
3.0601,0.0101314
3.06011,0.01024
3.06123,0.010335
3.06124,0.0104181
3.06248,0.0103658
3.06249,0.0103201
3.0636,0.0102801
3.06361,0.0102451
3.06473,0.0102144
3.06474,0.0101876
3.06585,0.0102892
3.06586,0.010253
3.06698,0.0103464
3.06699,0.0103031
3.0681,0.0105152
3.06811,0.0105758
3.06935,0.0107538
3.06936,0.0107846
3.07048,0.0109365
3.07049,0.0108195
3.0716,0.010842
3.07161,0.0107368
3.07273,0.0107697
3.07274,0.0106735
